City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Alindao,CF,5.0267,21.2088,77.61,25,16,3.94,few clouds
1,Hermanus,ZA,-34.4187,19.2345,63.81,76,0,11.45,clear sky
2,Bereznyky,UA,48.5141,23.2198,28.15,95,84,4.94,broken clouds
3,Ambulu,ID,-8.345,113.6058,75.42,86,100,2.3,overcast clouds
4,Namatanai,PG,-3.6667,152.4333,81.93,78,93,3.71,overcast clouds
5,Dikson,RU,73.5069,80.5464,3.24,94,100,18.63,overcast clouds
6,Dingle,PH,10.9995,122.6711,74.55,90,34,4.27,scattered clouds
7,Komsomolskiy,UZ,40.4272,71.7189,36.32,41,100,4.61,overcast clouds
8,Romitan,UZ,39.9343,64.3814,39.15,65,100,13.8,overcast clouds
9,Rikitea,PF,-23.1203,-134.9692,78.06,70,100,15.64,overcast clouds
10,Severo-Kurilsk,RU,50.6789,156.125,23.83,83,100,29.46,light snow
11,Villefontaine,FR,45.6125,5.1456,37.47,93,100,12.66,overcast clouds
12,Punta Arenas,CL,-53.15,-70.9167,62.71,55,0,5.75,clear sky
13,Eureka,US,40.8021,-124.1637,66.13,59,100,1.99,overcast clouds
14,Vaini,TO,-21.2,-175.2,82.38,79,98,19.19,overcast clouds
15,Gejiu,CN,23.306,103.1635,43.83,87,97,3.87,overcast clouds
16,Quang Ngai,VN,15.1167,108.8,68.13,92,66,5.26,broken clouds
17,Jamestown,US,42.097,-79.2353,20.08,59,100,5.01,overcast clouds
18,Anadyr,RU,64.75,177.4833,-7.01,83,20,0.0,fog
19,Guerrero Negro,MX,27.9769,-114.0611,72.64,24,31,2.71,scattered clouds
20,Trujillo,PE,-8.116,-79.03,69.76,78,75,12.66,broken clouds
21,Bluff,NZ,-46.6,168.3333,61.81,69,92,6.13,overcast clouds
22,Naze,JP,28.3667,129.4833,56.39,76,100,12.17,overcast clouds
23,Srednekolymsk,RU,67.45,153.6833,-12.15,94,100,2.28,overcast clouds
24,Libreville,GA,0.3925,9.4537,80.04,82,92,5.95,overcast clouds
25,Moissala,TD,8.3404,17.7663,74.46,20,86,4.76,overcast clouds
26,Arraial Do Cabo,BR,-22.9661,-42.0278,80.56,83,75,6.91,thunderstorm
27,Butaritari,KI,3.0707,172.7902,81.93,79,64,17.74,broken clouds
28,Luderitz,NA,-26.6481,15.1594,69.06,72,0,28.19,clear sky
29,Hobart,AU,-42.8794,147.3294,64.26,80,75,13.8,broken clouds
30,Ushuaia,AR,-54.8,-68.3,64.06,52,40,4.61,scattered clouds
31,Cabo San Lucas,MX,22.8909,-109.9124,80.62,52,20,7.0,few clouds
32,Busselton,AU,-33.65,115.3333,65.05,64,11,7.7,few clouds
33,Mataura,NZ,-46.1927,168.8643,61.48,45,96,3.96,overcast clouds
34,Vestmannaeyjar,IS,63.4427,-20.2734,33.87,71,100,16.11,overcast clouds
35,Ahipara,NZ,-35.1667,173.1667,71.1,58,100,11.88,overcast clouds
36,Half Moon Bay,US,37.4636,-122.4286,69.85,46,0,8.05,clear sky
37,Albany,US,42.6001,-73.9662,30.15,84,100,6.44,overcast clouds
38,Ballina,AU,-28.8667,153.5667,75.16,88,40,3.44,scattered clouds
39,Clyde River,CA,70.4692,-68.5914,-10.97,84,100,40.29,heavy snow
40,Puerto Ayacucho,VE,5.6639,-67.6236,92.98,25,80,6.96,broken clouds
41,Los Llanos De Aridane,ES,28.6585,-17.9182,56.95,59,0,11.5,clear sky
42,Ahuimanu,US,21.4447,-157.8378,82.11,68,40,4.0,scattered clouds
43,New Norfolk,AU,-42.7826,147.0587,63.91,66,97,1.99,overcast clouds
44,Cape Town,ZA,-33.9258,18.4232,68.27,71,0,8.01,clear sky
45,Bengkulu,ID,-3.8004,102.2655,76.39,86,100,3.51,overcast clouds
46,Iqaluit,CA,63.7506,-68.5145,-14.31,75,100,15.01,light snow
47,Cuitlahuac,MX,18.8167,-96.7167,71.06,79,98,4.5,overcast clouds
48,Hilo,US,19.7297,-155.09,80.33,68,20,10.36,few clouds
49,Tiruchchendur,IN,8.4833,78.1167,78.17,75,40,18.12,scattered clouds
50,Alyangula,AU,-13.8483,136.4192,82.27,83,100,9.22,overcast clouds
51,Bandarbeyla,SO,9.4942,50.8122,74.37,76,64,20.09,broken clouds
52,Castro,BR,-24.7911,-50.0119,61.0,99,100,7.47,overcast clouds
53,Caucaia,BR,-3.7361,-38.6531,78.08,87,100,4.61,overcast clouds
54,Kapaa,US,22.0752,-159.319,79.12,66,0,1.99,clear sky
55,Saint George,US,37.1041,-113.5841,61.27,17,0,5.01,clear sky
56,Kindu,CD,-2.95,25.95,72.32,90,100,0.98,overcast clouds
57,Masterton,NZ,-40.9597,175.6575,67.95,40,99,3.02,overcast clouds
58,Chuy,UY,-33.6971,-53.4616,68.7,64,56,7.38,broken clouds
59,Vostok,RU,46.4856,135.8833,-12.33,99,100,3.69,overcast clouds
60,Petrove,UA,48.3247,33.2562,29.71,95,84,15.01,broken clouds
61,Coahuayana,MX,18.7333,-103.6833,90.88,47,25,7.81,scattered clouds
62,Hami,CN,42.8,93.45,21.09,52,0,4.94,clear sky
63,San Quintin,MX,30.4833,-115.95,67.15,33,94,7.4,overcast clouds
64,Xiaoshi,CN,41.2971,124.1209,-3.98,95,6,1.45,clear sky
65,Bilibino,RU,68.0546,166.4372,-6.27,96,100,4.05,overcast clouds
66,Constitucion,CL,-35.3333,-72.4167,63.7,75,0,10.27,clear sky
67,Kavieng,PG,-2.5744,150.7967,82.58,75,99,5.88,overcast clouds
68,Yellowknife,CA,62.456,-114.3525,0.41,91,100,9.22,light snow
69,Makakilo City,US,21.3469,-158.0858,77.61,60,40,10.36,scattered clouds
70,Moron,AR,-34.6534,-58.6198,78.01,31,0,6.35,clear sky
71,Puerto Ayora,EC,-0.7393,-90.3518,80.56,76,66,9.66,broken clouds
72,Tuktoyaktuk,CA,69.4541,-133.0374,-18.4,69,20,14.97,few clouds
73,Santa Maria,BR,-29.6842,-53.8069,78.1,53,20,12.66,few clouds
74,Brae,GB,60.3964,-1.353,48.11,95,100,27.02,overcast clouds
75,Lagoa,PT,39.05,-27.9833,57.78,57,87,12.59,overcast clouds
76,Talnakh,RU,69.4865,88.3972,1.2,93,100,12.21,overcast clouds
77,Salobrena,ES,36.7428,-3.5872,57.74,62,10,10.63,clear sky
78,Gizo,SB,-8.103,156.8419,82.98,73,87,7.31,overcast clouds
79,Kahului,US,20.8947,-156.47,83.46,62,40,8.05,scattered clouds
80,Port Alfred,ZA,-33.5906,26.891,66.87,78,14,9.51,few clouds
81,Thompson,CA,55.7435,-97.8558,-5.64,65,100,5.75,overcast clouds
82,Wanning,CN,18.8003,110.3967,65.59,91,99,7.83,overcast clouds
83,Jennings,US,38.7192,-90.2604,28.78,49,20,4.0,heavy snow
84,Torbay,CA,47.6666,-52.7314,26.58,86,100,9.22,light snow
85,Amarante Do Maranhao,BR,-5.5667,-46.7422,69.94,98,97,2.8,overcast clouds
86,Bartica,GY,6.4,-58.6167,84.52,75,84,5.93,broken clouds
87,Ayagoz,KZ,47.9714,80.4392,-11.06,92,9,7.29,clear sky
88,Sola,VU,-13.8833,167.55,81.27,83,100,4.61,overcast clouds
89,Husavik,IS,66.0449,-17.3389,24.71,92,92,36.69,snow
90,Souillac,MU,-20.5167,57.5167,79.18,89,40,2.3,scattered clouds
91,Bairiki,KI,1.3292,172.9752,84.2,79,75,11.5,light rain
92,Hasaki,JP,35.7333,140.8333,32.4,48,100,6.33,overcast clouds
93,Itarema,BR,-2.9248,-39.9167,72.63,86,100,10.27,overcast clouds
94,Tasiilaq,GL,65.6145,-37.6368,12.36,69,59,6.73,broken clouds
95,Rhyl,GB,53.3196,-3.4886,53.01,82,100,4.0,overcast clouds
96,Holme,DK,56.1138,10.1725,39.18,87,100,15.75,overcast clouds
97,Puerto Leguizamo,CO,-0.1934,-74.7819,90.63,44,69,2.17,broken clouds
98,Port Elizabeth,ZA,-33.918,25.5701,65.1,82,75,12.66,light rain
99,Qaanaaq,GL,77.484,-69.3632,-12.82,61,5,8.46,clear sky
100,Herouville-Saint-Clair,FR,49.2109,-0.3065,47.39,93,100,9.22,overcast clouds
101,Praia Da Vitoria,PT,38.7333,-27.0667,59.25,82,40,12.06,scattered clouds
102,Bad Freienwalde,DE,52.7873,14.0304,40.37,77,98,7.0,overcast clouds
103,Manokwari,ID,-0.8667,134.0833,78.48,79,99,3.33,overcast clouds
104,Atuona,PF,-9.8,-139.0333,77.79,71,11,15.17,few clouds
105,Kodiak,US,57.79,-152.4072,26.11,80,100,14.97,light snow
106,Georgetown,MY,5.4112,100.3354,81.9,91,20,1.01,few clouds
107,Hofn,IS,64.2539,-15.2082,31.8,53,52,14.03,broken clouds
108,Avarua,CK,-21.2078,-159.775,82.45,74,40,13.8,scattered clouds
109,Khani,GE,41.9563,42.9566,22.57,81,24,7.18,few clouds
110,Bredasdorp,ZA,-34.5322,20.0403,63.28,77,64,6.91,broken clouds
111,Saravan,AM,39.7196,45.6483,18.25,94,100,3.13,light snow
112,Jhawarian,PK,32.3614,72.6228,49.12,39,0,3.04,clear sky
113,Manado,ID,1.487,124.8455,75.97,94,20,2.3,few clouds
114,Arman,RU,59.7,150.1667,8.38,77,100,14.81,overcast clouds
115,Geraldton,AU,-28.7667,114.6,70.21,78,0,8.05,clear sky
116,Simbahan,PH,6.3032,120.5836,81.1,76,17,3.09,few clouds
117,Cherskiy,RU,68.75,161.3,-11.42,93,100,1.86,overcast clouds
118,Kloulklubed,PW,7.0419,134.2556,77.5,81,84,14.03,broken clouds
119,Coihaique,CL,-45.5752,-72.0662,83.01,18,0,9.22,clear sky
120,Te Anau,NZ,-45.4167,167.7167,62.56,56,58,6.64,broken clouds
121,Matveyevka,RU,52.15,56.1833,4.19,87,100,7.83,overcast clouds
122,Saint Anthony,US,45.0205,-93.218,14.32,51,100,4.0,overcast clouds
123,Hamilton,US,39.1834,-84.5333,25.43,89,100,1.99,mist
124,Ilulissat,GL,69.2167,-51.1,17.62,45,100,21.85,overcast clouds
125,Ribeira Grande,PT,38.5167,-28.7,55.8,67,40,5.75,scattered clouds
126,Provideniya,RU,64.3833,-173.3,-1.21,98,18,3.27,few clouds
127,Sakakah,SA,29.9697,40.2064,44.17,52,34,6.44,scattered clouds
128,Pacific Grove,US,36.6177,-121.9166,71.71,28,0,1.99,clear sky
129,Korla,CN,41.7597,86.1469,21.11,64,0,4.92,clear sky
130,Nabire,ID,-3.3667,135.4833,76.8,89,99,2.73,overcast clouds
131,Nemuro,JP,43.3236,145.575,21.22,85,100,11.01,overcast clouds
132,Hithadhoo,MV,-0.6,73.0833,80.31,63,50,5.99,scattered clouds
133,Barrow,US,71.2906,-156.7887,-11.18,70,100,16.11,overcast clouds
134,Tubuala,PA,9.5167,-79.0333,89.71,73,12,11.12,few clouds
135,Mar Del Plata,AR,-38.0023,-57.5575,73.42,72,0,21.0,clear sky
136,Alice Springs,AU,-23.7,133.8833,72.95,100,100,10.36,overcast clouds
137,Kapra,IN,17.4846,78.561,59.7,33,28,6.26,scattered clouds
138,Kaitangata,NZ,-46.2817,169.8464,63.93,66,91,0.78,overcast clouds
139,Hermitage,US,41.2334,-80.4487,25.38,80,100,1.01,overcast clouds
140,Khatanga,RU,71.9667,102.5,-1.62,87,100,5.01,overcast clouds
141,Jibuti,DJ,11.5,42.5,71.02,70,49,7.76,scattered clouds
142,Kumluca,TR,36.3703,30.2869,41.68,72,23,5.14,few clouds
143,Port Lincoln,AU,-34.7333,135.8667,66.87,75,86,15.23,overcast clouds
144,Karymskoye,RU,51.6167,114.35,-18.33,100,31,3.56,scattered clouds
145,Kununurra,AU,-15.7667,128.7333,80.58,89,100,6.91,overcast clouds
146,Bitung,ID,1.4451,125.1824,76.05,87,76,6.73,light rain
147,Spencer,US,43.1414,-95.1444,28.08,60,100,11.5,overcast clouds
148,Avera,US,33.194,-82.5271,51.75,52,100,9.93,overcast clouds
149,Treinta Y Tres,UY,-33.2333,-54.3833,69.33,69,77,8.39,broken clouds
150,Sovetskaya,RU,44.7769,41.1722,28.42,85,63,6.17,broken clouds
151,Howell,US,42.6073,-83.9294,19.74,66,0,6.91,clear sky
152,Bubaque,GW,11.2833,-15.8333,78.08,66,20,16.31,few clouds
153,Kosai,JP,34.7105,137.5316,40.86,51,98,8.48,overcast clouds
154,Acapulco,MX,16.8634,-99.8901,85.82,66,0,9.22,clear sky
155,Aquidauana,BR,-20.4711,-55.7872,81.64,75,56,1.5,light rain
156,Roald,NO,62.5833,6.1333,44.65,75,75,21.85,broken clouds
157,Berezovyy,RU,51.6667,135.7,-18.33,96,89,3.85,overcast clouds
158,Ocos,GT,14.5094,-92.1933,93.7,61,2,12.75,clear sky
159,Catio,GW,11.2833,-15.25,74.44,64,10,7.76,clear sky
160,Yanam,IN,16.7333,82.2167,67.6,90,33,4.27,scattered clouds
161,Taksimo,RU,56.3444,114.8794,-16.53,91,49,2.24,scattered clouds
162,Turukhansk,RU,65.8167,87.9833,-0.96,94,100,12.39,overcast clouds
163,Plastun,RU,44.7561,136.2939,5.32,64,10,9.42,clear sky
164,Lampa,CL,-33.2833,-70.9,82.08,36,0,19.57,clear sky
165,Lavrentiya,RU,65.5833,-171.0,-9.04,97,6,3.98,clear sky
166,Ketchikan,US,55.3422,-131.6461,45.07,93,100,14.97,mist
167,Yining,CN,29.0361,114.5636,34.41,100,100,2.3,light snow
168,Sungaipenuh,ID,-2.0833,101.3833,63.25,95,98,3.74,overcast clouds
169,Pisco,PE,-13.7,-76.2167,77.05,61,0,19.57,clear sky
170,Havelock,US,34.8791,-76.9013,46.63,85,100,10.36,moderate rain
171,Aquiraz,BR,-3.9014,-38.3911,78.22,93,100,9.91,overcast clouds
172,Dali,CN,25.7,100.1833,36.37,89,2,4.29,clear sky
173,Esperance,AU,-33.8667,121.9,58.84,83,0,12.97,clear sky
174,Taos,US,36.4072,-105.5731,41.2,48,0,1.99,clear sky
175,Pevek,RU,69.7008,170.3133,-17.16,100,36,2.59,scattered clouds
176,Namibe,AO,-15.1961,12.1522,72.57,82,100,6.22,overcast clouds
177,Gremyachinsk,RU,58.5603,57.851,-1.39,100,100,2.35,overcast clouds
178,Zeya,RU,53.75,127.2667,-7.11,85,32,5.68,scattered clouds
179,Shirokiy,RU,49.758,129.523,-25.01,96,17,6.24,few clouds
180,Canaries,ES,28.0,-15.5,55.36,67,20,12.66,few clouds
181,Naryan-Mar,RU,67.6713,53.087,-1.39,97,99,9.69,overcast clouds
182,Xinzhi,CN,36.4989,111.7047,29.97,79,11,1.86,few clouds
183,Nome,US,64.5011,-165.4064,-9.83,64,0,0.0,clear sky
184,Loa Janan,ID,-0.583,117.095,70.88,99,100,1.54,overcast clouds
185,Chokurdakh,RU,70.6333,147.9167,-31.41,96,95,2.59,overcast clouds
186,Urucara,BR,-2.5364,-57.76,76.24,94,99,2.08,overcast clouds
187,Ulaangom,MN,49.9811,92.0667,-21.95,88,89,3.22,overcast clouds
188,Fort-Shevchenko,KZ,44.5086,50.263,32.58,68,56,15.03,broken clouds
189,Assiniboia,CA,49.6334,-105.9845,31.91,64,97,12.66,overcast clouds
190,Tromso,NO,69.6496,18.957,24.82,80,75,3.0,light snow
191,Elista,RU,46.3078,44.2558,21.72,85,25,4.0,scattered clouds
192,Upernavik,GL,72.7868,-56.1549,2.44,64,100,8.95,overcast clouds
193,Quatre Cocos,MU,-20.2078,57.7625,78.91,82,27,9.86,light rain
194,Mombasa,KE,-4.0547,39.6636,79.21,83,40,6.91,scattered clouds
195,Ancud,CL,-41.8697,-73.8203,80.13,62,0,9.53,clear sky
196,Haaren,NL,51.6025,5.2222,44.89,75,100,1.99,mist
197,Saint-Philippe,RE,-21.3585,55.7679,74.79,74,10,5.44,clear sky
198,Celestun,MX,20.8667,-90.4,75.94,71,78,16.69,broken clouds
199,Itoman,JP,26.1247,127.6694,65.17,96,75,5.75,broken clouds
200,Rocha,UY,-34.4833,-54.3333,66.15,70,8,6.82,clear sky
201,Sumbe,AO,-11.2061,13.8437,77.45,86,100,5.23,overcast clouds
202,Madimba,TZ,-10.4,40.3333,74.95,93,100,2.98,overcast clouds
203,Hay River,CA,60.8156,-115.7999,10.36,85,75,6.91,broken clouds
204,Beloha,MG,-25.1667,45.05,70.14,92,0,8.16,clear sky
205,Fortuna,US,40.5982,-124.1573,65.86,44,0,0.0,clear sky
206,Laguna,US,38.421,-121.4238,67.64,49,0,3.0,clear sky
207,Mandera,KE,3.9366,41.867,81.18,23,73,6.22,broken clouds
208,Saint-Joseph,RE,-21.3667,55.6167,73.78,72,5,6.69,clear sky
209,Broome,US,42.2506,-75.833,21.58,78,100,5.01,mist
210,Beringovskiy,RU,63.05,179.3167,-3.39,95,99,2.51,overcast clouds
211,Mirnyy,RU,62.5353,113.9611,-15.77,75,64,7.0,broken clouds
212,Berestechko,UA,50.3605,25.1107,34.0,91,100,21.16,overcast clouds
213,Plettenberg Bay,ZA,-34.0527,23.3716,63.3,79,35,2.53,scattered clouds
214,Trincomalee,LK,8.5711,81.2335,78.67,83,62,17.29,broken clouds
215,Biloela,AU,-24.4167,150.5,76.57,62,5,10.51,clear sky
216,Birjand,IR,32.8663,59.2211,32.47,37,0,0.0,clear sky
217,Catamarca,AR,-28.4696,-65.7852,80.58,53,53,9.33,broken clouds
218,Nouakchott,MR,18.0858,-15.9785,67.93,67,100,14.09,overcast clouds
219,Saskylakh,RU,71.9167,114.0833,-0.04,90,100,6.08,overcast clouds
220,Lumphat,KH,13.4878,106.9816,68.86,88,62,3.2,broken clouds
221,Lebu,CL,-37.6167,-73.65,64.38,77,2,5.73,clear sky
222,Mehamn,NO,71.0357,27.8492,31.91,63,20,3.44,few clouds
223,Ostrovnoy,RU,68.0531,39.5131,10.56,94,88,9.53,overcast clouds
224,Carnarvon,AU,-24.8667,113.6333,69.87,88,0,5.75,clear sky
225,East London,ZA,-33.0153,27.9116,69.85,78,58,12.15,light rain
